riff_id,titulo,artista,estilo,nivel_1_5,bpm_practica_inicio,bpm_practica_objetivo,metrica,subdivisiones_por_compas,tonalidad,afinacion,sonido,tecnica_principal,comentario_practica,compases_utiles,tags,compas_01,compas_02,compas_03,compas_04,compas_05,compas_06,compas_07,compas_08,compas_09,compas_10,compas_11,compas_12,compas_13,compas_14,compas_15,compas_16
riff_v4_famous_001_smoke_on_the_water,Smoke on the Water - riff principal,Deep Purple,hard_rock,2,56,112,4/4,8,Gm,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"hard_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",4.5(1-2);4.8(3-4);4.10(5-6),4.5(1-2);4.8(3-3);4.11(4-4);4.10(5-7),4.5(1-2);4.8(3-4);4.10(5-6);4.8(7-7),"4.5(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_002_seven_nation_army,Seven Nation Army - riff principal,The White Stripes,garage_rock,1,70,124,4/4,8,Em,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"garage_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.7(1-2);5.7(3-3);5.10(5-5);5.7(7-7),5.5(1-1);5.3(3-4);5.2(5-6),5.7(1-2);5.7(3-3);5.10(5-5);5.7(7-7),"6.0(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_003_come_as_you_are,Come As You Are - riff principal,Nirvana,grunge,2,56,108,4/4,8,Em,EADGBE,clean_chorus,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"grunge,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.0(2-2);6.1(3-3);6.2(4-4);5.0(5-5);6.2(6-6);6.1(7-7);6.0(8-8),6.0(1-1);6.0(2-2);6.1(3-3);6.2(4-4);5.0(5-5);6.2(6-6);6.1(7-7);6.0(8-8),6.0(1-4);5.2(5-8),,,,,,,,,,,,,
riff_v4_famous_004_iron_man,Iron Man - riff principal,Black Sabbath,metal_clasico,2,50,76,4/4,8,E,EADGBE,distorsion,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"metal_clasico,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-2);6.3(3-4);6.3(5-5);6.5(6-7),6.5(1-1);6.8(2-3);6.7(4-4);6.8(5-5);6.7(6-8),6.3(1-2);6.5(3-4);6.5(5-6);6.3(7-7);6.0(8-8),"6.0(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_005_sunshine_of_your_love,Sunshine of Your Love - riff principal,Cream,blues_rock,2,58,112,4/4,8,Dm,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",4,"blues_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",4.12(1-1);4.12(3-3);4.10(5-5);4.12(6-6);5.12(7-7);5.11(8-8),5.10(1-2);5.8(3-4);5.10(5-8),4.12(1-1);4.12(3-3);4.10(5-5);4.12(6-6);5.12(7-7);5.11(8-8),"4.12(1-8,sustain)",,,,,,,,,,,,
riff_v4_famous_006_satisfaction,Satisfaction - riff principal,The Rolling Stones,rock,2,70,136,4/4,8,E,EADGBE,crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.2(1-1);5.2(2-2);5.2(3-3);5.4(4-4);5.5(5-7),5.5(1-1);5.4(3-3);5.4(4-4);5.2(5-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_007_peter_gunn,Peter Gunn Theme - riff principal,Henry Mancini,rockabilly,1,60,120,4/4,8,E,EADGBE,clean,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"rockabilly,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.0(2-2);6.2(3-3);6.0(4-4);6.3(5-5);6.0(6-6);6.5(7-7);6.4(8-8),6.0(1-1);6.0(2-2);6.2(3-3);6.0(4-4);6.3(5-5);6.0(6-6);6.5(7-7);6.4(8-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_008_day_tripper,Day Tripper - riff principal,The Beatles,rock,3,60,136,4/4,8,E,EADGBE,clean_crunch,pua_alterna,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.3(2-2);6.4(3-3);5.2(4-4);4.0(5-5);4.2(6-6);5.2(7-7);4.0(8-8),5.2(1-1);6.4(2-2);6.3(3-3);6.0(4-4);5.0(5-5);6.3(6-6);6.0(7-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_009_another_one_bites_the_dust,Another One Bites the Dust - riff principal,Queen,funk_rock,2,70,110,4/4,8,Dm,EADGBE,clean,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"funk_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",5.5(1-2);5.5(4-4);5.5(6-6);5.3(7-7);5.5(8-8),5.5(1-2);5.3(4-4);5.5(6-8),"5.5(1-8,sustain)",,,,,,,,,,,,,
riff_v4_famous_010_eye_of_the_tiger,Eye of the Tiger - riff principal,Survivor,arena_rock,2,60,109,4/4,8,Em,EADGBE,crunch,pua_abajo,"Frase cerrada: respetar silencios, acentos y dejar sonar el ultimo valor.",3,"arena_rock,famoso_realista_aprox,licenciable,famoso,app_ready,cierre,final_resuelto",6.0(1-1);6.0(3-3);6.0(5-5);6.3(6-6);6.5(7-8),6.0(1-1);6.0(3-3);6.0(5-5);6.3(6-6);6.5(7-8),"6.0(1-8,sustain)",,,,,,,,,,,,,
